stt,hazard-category,product-category,hazard,product
77,allergens,fruits and vegetables,salmonella,ice cream
78,biological,"meat, egg and dairy products",salmonella,ice cream
79,allergens,ices and desserts,almond,ice cream
80,foreign bodies,ices and desserts,salmonella,ice cream
81,chemical,fruits and vegetables,salmonella,apricot kernels
82,biological,ices and desserts,listeria monocytogenes,ice cream
83,biological,"meat, egg and dairy products",listeria monocytogenes,cheese
84,fraud,"nuts, nut products and seeds",milk and products thereof,ready to eat - cook meals
85,fraud,confectionery,milk and products thereof,jellies
86,biological,prepared dishes and snacks,salmonella,potato chips
87,biological,herbs and spices,salmonella,ice cream
88,biological,fruits and vegetables,salmonella,chicken based products
89,biological,"meat, egg and dairy products",salmonella,chicken based products
90,biological,"meat, egg and dairy products",listeria monocytogenes,chicken based products
91,biological,non-alcoholic beverages,escherichia coli,spring rolls
92,biological,ices and desserts,salmonella,chicken based products
93,foreign bodies,"meat, egg and dairy products",listeria monocytogenes,yoghurt
94,fraud,cereals and bakery products,milk and products thereof,cakes
95,allergens,cereals and bakery products,peanuts and products thereof,cookies
96,allergens,confectionery,milk and products thereof,cookies
97,biological,seafood,listeria monocytogenes,salmon
98,allergens,prepared dishes and snacks,metal fragment,spring rolls
99,biological,"nuts, nut products and seeds",salmonella,cakes
100,chemical,fats and oils,salmonella,ice cream
101,allergens,"meat, egg and dairy products",milk and products thereof,sausage
102,organoleptic aspects,ices and desserts,listeria monocytogenes,ice cream
103,biological,fruits and vegetables,salmonella,alfalfa sprouts
104,foreign bodies,alcoholic beverages,plastic fragment,cheese
105,fraud,"meat, egg and dairy products",milk and products thereof,coconuts
106,biological,cereals and bakery products,salmonella,cookies
107,chemical,fruits and vegetables,listeria monocytogenes,ready to eat - cook meals
108,chemical,fruits and vegetables,milk and products thereof,ready to eat - cook meals
109,biological,prepared dishes and snacks,listeria monocytogenes,chicken based products
110,biological,prepared dishes and snacks,listeria monocytogenes,sandwiches
111,allergens,ices and desserts,peanuts and products thereof,ice cream
112,allergens,seafood,glass fragment,ice cream
113,biological,"meat, egg and dairy products",listeria monocytogenes,cheese
114,allergens,"meat, egg and dairy products",soybeans and products thereof,beef products
115,biological,"meat, egg and dairy products",listeria monocytogenes,chicken based products
116,fraud,herbs and spices,inspection issues,beef products
117,allergens,prepared dishes and snacks,milk and products thereof,chicken based products
118,allergens,"meat, egg and dairy products",soybeans and products thereof,thermal processed pork meat
119,allergens,cereals and bakery products,plastic fragment,cookies
120,allergens,"meat, egg and dairy products",soybeans and products thereof,chicken based products
121,organoleptic aspects,non-alcoholic beverages,milk and products thereof,ice cream
122,allergens,"cocoa and cocoa preparations, coffee and tea",milk and products thereof,cakes
123,allergens,"meat, egg and dairy products",soybeans and products thereof,thermal processed pork meat
124,biological,"meat, egg and dairy products",listeria monocytogenes,sausage
125,biological,"meat, egg and dairy products",escherichia coli,salads
126,biological,"meat, egg and dairy products",listeria monocytogenes,milk
127,biological,"meat, egg and dairy products",listeria monocytogenes,cheese
128,biological,"meat, egg and dairy products",escherichia coli,ice cream
129,foreign bodies,prepared dishes and snacks,listeria monocytogenes,ready to eat - cook meals
130,biological,"nuts, nut products and seeds",salmonella,salmon
131,fraud,"meat, egg and dairy products",listeria monocytogenes,other types of meat
132,biological,fruits and vegetables,salmonella,ice cream
133,biological,prepared dishes and snacks,listeria monocytogenes,ready to eat - cook meals
134,biological,"nuts, nut products and seeds",salmonella,peanuts
135,biological,"nuts, nut products and seeds",salmonella,cakes
136,allergens,"meat, egg and dairy products",milk and products thereof,chicken based products
137,biological,ices and desserts,salmonella,ice cream
138,biological,"cocoa and cocoa preparations, coffee and tea",salmonella,ice cream
139,biological,"meat, egg and dairy products",escherichia coli,ground beef
140,allergens,ices and desserts,milk and products thereof,ice cream
141,biological,fruits and vegetables,listeria monocytogenes,ice cream
142,foreign bodies,"meat, egg and dairy products",listeria monocytogenes,other types of meat
143,fraud,"meat, egg and dairy products",listeria monocytogenes,ground beef
144,biological,prepared dishes and snacks,listeria monocytogenes,ready to eat - cook meals
145,allergens,"meat, egg and dairy products",soybeans and products thereof,dried beef meat
146,foreign bodies,prepared dishes and snacks,plastic fragment,ground beef
147,fraud,"meat, egg and dairy products",inspection issues,sausage
148,allergens,cereals and bakery products,peanuts and products thereof,biscuits
149,allergens,"meat, egg and dairy products",milk and products thereof,chicken based products
150,biological,seafood,salmonella,salmon
151,allergens,ices and desserts,milk and products thereof,cakes
152,allergens,"cocoa and cocoa preparations, coffee and tea",milk and products thereof,chocolate bars
153,foreign bodies,"meat, egg and dairy products",plastic fragment,chicken based products
154,biological,"nuts, nut products and seeds",salmonella,ice cream
155,allergens,"soups, broths, sauces and condiments",salmonella,ice cream
156,biological,"nuts, nut products and seeds",salmonella,cheese
157,biological,"nuts, nut products and seeds",salmonella,ice cream
158,biological,"nuts, nut products and seeds",salmonella,ice cream
159,allergens,confectionery,peanuts and products thereof,jellies
160,biological,"nuts, nut products and seeds",salmonella,pistachio nuts
161,biological,"nuts, nut products and seeds",salmonella,pistachio nuts
162,allergens,cereals and bakery products,milk and products thereof,cookies
163,biological,"nuts, nut products and seeds",salmonella,pistachio nuts
164,biological,"nuts, nut products and seeds",salmonella,pistachio nuts
165,biological,cereals and bakery products,salmonella,cookies
166,biological,confectionery,salmonella,ice cream
167,biological,prepared dishes and snacks,salmonella,ice cream
168,biological,seafood,salmonella,ice cream
169,biological,"nuts, nut products and seeds",salmonella,peanuts
170,biological,ices and desserts,salmonella,ice cream
171,biological,"meat, egg and dairy products",listeria monocytogenes,cheese
172,foreign bodies,fruits and vegetables,escherichia coli,cakes
173,biological,"meat, egg and dairy products",escherichia coli,ground beef
174,foreign bodies,cereals and bakery products,peanuts and products thereof,bread
175,biological,fruits and vegetables,salmonella,coconuts
176,fraud,"meat, egg and dairy products",incorrect labeling,ground beef
177,allergens,"meat, egg and dairy products",listeria monocytogenes,chicken based products
178,fraud,non-alcoholic beverages,metal fragment,ice cream
179,allergens,"soups, broths, sauces and condiments",milk and products thereof,chicken based products
180,biological,"meat, egg and dairy products",listeria monocytogenes,chicken based products
181,allergens,"meat, egg and dairy products",soybeans and products thereof,chicken based products
182,allergens,ices and desserts,milk and products thereof,ice cream
183,allergens,confectionery,listeria monocytogenes,chicken based products
184,allergens,prepared dishes and snacks,milk and products thereof,potato chips
185,biological,herbs and spices,listeria monocytogenes,ice cream
186,allergens,fruits and vegetables,milk and products thereof,cakes
187,fraud,"meat, egg and dairy products",inspection issues,beef products
188,allergens,"meat, egg and dairy products",soybeans and products thereof,thermal processed pork meat
189,biological,"meat, egg and dairy products",listeria monocytogenes,chicken based products
190,other hazard,prepared dishes and snacks,milk and products thereof,baby food
191,allergens,cereals and bakery products,glass fragment,cakes
192,biological,"meat, egg and dairy products",incorrect labeling,thermal processed pork meat
193,allergens,"meat, egg and dairy products",peanuts and products thereof,chicken based products
194,biological,"nuts, nut products and seeds",salmonella,chicken based products
195,biological,"nuts, nut products and seeds",salmonella,chicken based products
196,foreign bodies,non-alcoholic beverages,listeria monocytogenes,ice cream
197,other hazard,"meat, egg and dairy products",plastic fragment,chicken based products
198,allergens,"meat, egg and dairy products",milk and products thereof,turkey and turkey preparations
199,allergens,prepared dishes and snacks,soybeans and products thereof,thermal processed pork meat
200,allergens,"meat, egg and dairy products",soybeans and products thereof,chicken based products
201,fraud,"meat, egg and dairy products",incorrect labeling,thermal processed pork meat
202,allergens,"meat, egg and dairy products",cereals containing gluten and products thereof,chicken based products
203,allergens,cereals and bakery products,salmonella,cakes
204,foreign bodies,"meat, egg and dairy products",plastic fragment,ground beef
205,foreign bodies,seafood,milk and products thereof,cakes
206,allergens,"nuts, nut products and seeds",peanuts and products thereof,peanuts
207,biological,"meat, egg and dairy products",escherichia coli,ground beef
208,biological,"meat, egg and dairy products",listeria monocytogenes,chicken based products
209,allergens,other food product / mixed,cereals containing gluten and products thereof,cakes
210,foreign bodies,"meat, egg and dairy products",metal fragment,cakes
211,allergens,"soups, broths, sauces and condiments",milk and products thereof,soup
212,biological,"meat, egg and dairy products",listeria monocytogenes,chicken based products
213,organoleptic aspects,"meat, egg and dairy products",milk and products thereof,milk
214,fraud,"meat, egg and dairy products",inspection issues,beef products
215,allergens,"meat, egg and dairy products",soybeans and products thereof,chicken based products
216,foreign bodies,"soups, broths, sauces and condiments",plastic fragment,ready to eat - cook meals
217,allergens,"meat, egg and dairy products",soybeans and products thereof,thermal processed pork meat
218,allergens,fruits and vegetables,milk and products thereof,sausage
219,organoleptic aspects,"meat, egg and dairy products",spoilage,yoghurt
220,allergens,prepared dishes and snacks,milk and products thereof,ice cream
221,allergens,"meat, egg and dairy products",cereals containing gluten and products thereof,cakes
222,biological,"meat, egg and dairy products",escherichia coli,ground beef
223,allergens,prepared dishes and snacks,soybeans and products thereof,chicken based products
224,packaging defect,alcoholic beverages,listeria monocytogenes,cheese
225,foreign bodies,"meat, egg and dairy products",metal fragment,sausage
226,biological,ices and desserts,listeria monocytogenes,ice cream
227,biological,ices and desserts,listeria monocytogenes,ice cream
228,fraud,"meat, egg and dairy products",inspection issues,beef products
229,allergens,fruits and vegetables,sulphur dioxide and sulphites,chicken based products
230,fraud,"meat, egg and dairy products",inspection issues,beef products
231,foreign bodies,fruits and vegetables,glass fragment,cakes
232,fraud,"meat, egg and dairy products",inspection issues,beef products
233,fraud,"meat, egg and dairy products",inspection issues,beef products
234,biological,"nuts, nut products and seeds",salmonella,cakes
235,allergens,"soups, broths, sauces and condiments",peanuts and products thereof,ready to eat - cook meals
236,allergens,fruits and vegetables,milk and products thereof,ready to eat - cook meals
237,allergens,seafood,milk and products thereof,cakes
238,fraud,"meat, egg and dairy products",inspection issues,other not classified meat products
239,allergens,"meat, egg and dairy products",milk and products thereof,thermal processed pork meat
240,other hazard,alcoholic beverages,bulging packaging,beer
241,foreign bodies,alcoholic beverages,salmonella,cakes
242,other hazard,prepared dishes and snacks,other,chicken based products
243,other hazard,"dietetic foods, food supplements, fortified foods",milk and products thereof,ready to eat - cook meals
244,allergens,"cocoa and cocoa preparations, coffee and tea",peanuts and products thereof,biscuits
245,allergens,seafood,almond,salmon
246,foreign bodies,"dietetic foods, food supplements, fortified foods",plastic fragment,chicken based products
247,other hazard,"soups, broths, sauces and condiments",listeria monocytogenes,jellies
248,allergens,"dietetic foods, food supplements, fortified foods",milk and products thereof,cakes
249,packaging defect,alcoholic beverages,glass fragment,wine
250,allergens,herbs and spices,salmonella,ready to eat - cook meals
251,allergens,"meat, egg and dairy products",soybeans and products thereof,thermal processed pork meat
252,allergens,"meat, egg and dairy products",milk and products thereof,chicken based products
253,allergens,"meat, egg and dairy products",soybeans and products thereof,chicken based products
254,chemical,herbs and spices,milk and products thereof,ice cream
255,allergens,prepared dishes and snacks,listeria monocytogenes,cheese
256,allergens,"meat, egg and dairy products",soybeans and products thereof,thermal processed pork meat
257,allergens,fruits and vegetables,milk and products thereof,coconuts
258,packaging defect,alcoholic beverages,bulging packaging,wine
259,foreign bodies,herbs and spices,salmonella,ice cream
260,biological,fruits and vegetables,listeria monocytogenes,chicken based products
261,allergens,prepared dishes and snacks,milk and products thereof,cheese
262,allergens,herbs and spices,mustard and products thereof,ready to eat - cook meals
263,biological,"meat, egg and dairy products",escherichia coli,ground beef
264,fraud,"meat, egg and dairy products",inspection issues,other not classified meat products
265,fraud,"meat, egg and dairy products",cereals containing gluten and products thereof,chicken based products
266,allergens,cereals and bakery products,cereals containing gluten and products thereof,cakes
267,allergens,fruits and vegetables,milk and products thereof,coconuts
268,biological,"meat, egg and dairy products",listeria monocytogenes,thermal processed pork meat
269,allergens,"soups, broths, sauces and condiments",eggs and products thereof,salads
270,allergens,non-alcoholic beverages,sulphur dioxide and sulphites,cakes
271,biological,"meat, egg and dairy products",escherichia coli,ground beef
272,allergens,"meat, egg and dairy products",listeria monocytogenes,cakes
273,foreign bodies,other food product / mixed,milk and products thereof,cakes
274,chemical,fats and oils,salmonella,ready to eat - cook meals
275,fraud,"meat, egg and dairy products",inspection issues,Catfishes (freshwater)
276,fraud,"meat, egg and dairy products",inspection issues,turkey and turkey preparations
277,fraud,non-alcoholic beverages,eggs and products thereof,ice cream
278,allergens,herbs and spices,milk and products thereof,ready to eat - cook meals
279,allergens,"cocoa and cocoa preparations, coffee and tea",milk and products thereof,dark chocolates
280,biological,"meat, egg and dairy products",listeria monocytogenes,ice cream
281,fraud,"meat, egg and dairy products",inspection issues,ham
282,foreign bodies,"meat, egg and dairy products",metal fragment,chicken based products
283,allergens,non-alcoholic beverages,milk and products thereof,coconuts
284,biological,fruits and vegetables,salmonella,salads
285,biological,fruits and vegetables,salmonella,salads
286,other hazard,"meat, egg and dairy products",milk and products thereof,other not classified meat products
287,biological,"meat, egg and dairy products",listeria monocytogenes,chicken based products
288,fraud,"meat, egg and dairy products",inspection issues,chicken based products
289,allergens,"meat, egg and dairy products",soybeans and products thereof,chicken based products
290,fraud,cereals and bakery products,salmonella,cookies
291,allergens,"meat, egg and dairy products",soybeans and products thereof,beef products
292,other hazard,"meat, egg and dairy products",milk and products thereof,yoghurt
293,allergens,"meat, egg and dairy products",milk and products thereof,thermal processed pork meat
294,allergens,cereals and bakery products,milk and products thereof,peanuts
295,foreign bodies,"nuts, nut products and seeds",insects,chicken based products
296,packaging defect,non-alcoholic beverages,salmonella,ice cream
297,allergens,herbs and spices,milk and products thereof,chicken based products
298,foreign bodies,"meat, egg and dairy products",plastic fragment,chicken based products
299,foreign bodies,cereals and bakery products,insects,corn
300,biological,fruits and vegetables,salmonella,ice cream
301,allergens,cereals and bakery products,walnut,cakes
302,allergens,seafood,milk and products thereof,cookies
303,biological,fruits and vegetables,salmonella,salads
304,biological,"meat, egg and dairy products",milk and products thereof,milk
305,biological,confectionery,salmonella,ice cream
306,biological,"meat, egg and dairy products",listeria monocytogenes,cakes
307,allergens,seafood,soybeans and products thereof,cookies
308,foreign bodies,cereals and bakery products,metal fragment,chicken based products
309,allergens,cereals and bakery products,salmonella,sesame seeds
310,biological,"meat, egg and dairy products",listeria monocytogenes,chicken based products
311,foreign bodies,cereals and bakery products,plastic fragment,cakes
312,allergens,fruits and vegetables,salmonella,cakes
313,biological,"cocoa and cocoa preparations, coffee and tea",salmonella,salads
314,allergens,"cocoa and cocoa preparations, coffee and tea",milk and products thereof,dark chocolates
315,biological,"nuts, nut products and seeds",salmonella,macadamia nuts
316,allergens,cereals and bakery products,cereals containing gluten and products thereof,cakes
317,allergens,cereals and bakery products,milk and products thereof,cakes
318,biological,"nuts, nut products and seeds",salmonella,pistachio nuts
319,allergens,"meat, egg and dairy products",listeria monocytogenes,turkey and turkey preparations
320,allergens,fruits and vegetables,sulphur dioxide and sulphites,potato chips
321,allergens,fruits and vegetables,milk and products thereof,salads
322,allergens,"meat, egg and dairy products",soybeans and products thereof,thermal processed pork meat
323,allergens,fruits and vegetables,sulphur dioxide and sulphites,ready to eat - cook meals
324,biological,"soups, broths, sauces and condiments",listeria monocytogenes,soup
325,fraud,"meat, egg and dairy products",listeria monocytogenes,chicken based products
326,allergens,cereals and bakery products,peanuts and products thereof,cookies
327,allergens,"soups, broths, sauces and condiments",milk and products thereof,sauce
328,allergens,confectionery,milk and products thereof,cookies
329,biological,"nuts, nut products and seeds",listeria monocytogenes,sunflower seed
330,biological,cereals and bakery products,listeria monocytogenes,biscuits
331,biological,"meat, egg and dairy products",listeria monocytogenes,chicken based products
332,allergens,prepared dishes and snacks,salmonella,noodles
333,biological,"meat, egg and dairy products",listeria monocytogenes,chicken based products
334,biological,fruits and vegetables,listeria monocytogenes,ice cream
335,biological,fruits and vegetables,listeria monocytogenes,chicken based products
336,biological,fruits and vegetables,listeria monocytogenes,salads
337,allergens,cereals and bakery products,milk and products thereof,cakes
338,biological,"meat, egg and dairy products",listeria monocytogenes,chicken based products
339,biological,prepared dishes and snacks,listeria monocytogenes,ice cream
340,biological,fruits and vegetables,salmonella,ice cream
341,foreign bodies,"meat, egg and dairy products",plastic fragment,chicken based products
342,biological,cereals and bakery products,listeria monocytogenes,ice cream
343,biological,"nuts, nut products and seeds",listeria monocytogenes,ice cream
344,biological,prepared dishes and snacks,listeria monocytogenes,snack mix
345,allergens,"dietetic foods, food supplements, fortified foods",milk and products thereof,cookies
346,allergens,prepared dishes and snacks,milk and products thereof,ice cream
347,fraud,"meat, egg and dairy products",inspection issues,other not classified meat products
348,biological,"nuts, nut products and seeds",listeria monocytogenes,sunflower seed
349,biological,"nuts, nut products and seeds",listeria monocytogenes,sunflower seed
350,biological,"nuts, nut products and seeds",listeria monocytogenes,sunflower seed
351,biological,cereals and bakery products,listeria monocytogenes,sunflower seed
352,fraud,"meat, egg and dairy products",inspection issues,sausage
353,biological,"meat, egg and dairy products",escherichia coli,ground beef
354,biological,prepared dishes and snacks,listeria monocytogenes,ice cream
355,biological,fruits and vegetables,listeria monocytogenes,peanuts
356,biological,"nuts, nut products and seeds",listeria monocytogenes,sunflower seed
357,biological,"nuts, nut products and seeds",listeria monocytogenes,sunflower seed
358,allergens,"cocoa and cocoa preparations, coffee and tea",milk and products thereof,dark chocolates
359,fraud,"meat, egg and dairy products",cereals containing gluten and products thereof,sausage
360,allergens,cereals and bakery products,eggs and products thereof,ready to eat - cook meals
361,biological,prepared dishes and snacks,salmonella,cakes
362,biological,"meat, egg and dairy products",escherichia coli,chicken based products
363,allergens,"meat, egg and dairy products",plastic fragment,chicken based products
364,allergens,cereals and bakery products,milk and products thereof,cookies
365,chemical,seafood,listeria monocytogenes,Catfishes (freshwater)
366,allergens,seafood,soybeans and products thereof,chicken based products
367,biological,cereals and bakery products,salmonella,ice cream
368,foreign bodies,"meat, egg and dairy products",listeria monocytogenes,ice cream
369,foreign bodies,cereals and bakery products,plastic fragment,sausage
370,allergens,ices and desserts,peanuts and products thereof,ice cream
371,chemical,herbs and spices,milk and products thereof,curry
372,allergens,cereals and bakery products,eggs and products thereof,cakes
373,allergens,"meat, egg and dairy products",soybeans and products thereof,chicken based products
374,foreign bodies,ices and desserts,metal fragment,ice cream
375,allergens,"nuts, nut products and seeds",peanuts and products thereof,ice cream
376,foreign bodies,confectionery,plastic fragment,ice cream
377,allergens,other food product / mixed,peanuts and products thereof,cakes
378,allergens,fruits and vegetables,salmonella,peanuts
379,biological,ices and desserts,listeria monocytogenes,ice cream
380,foreign bodies,prepared dishes and snacks,plastic fragment,chicken based products
381,packaging defect,alcoholic beverages,milk and products thereof,beer
382,allergens,confectionery,peanuts and products thereof,cookies
383,allergens,confectionery,cereals containing gluten and products thereof,cakes
384,foreign bodies,"meat, egg and dairy products",plastic fragment,chicken based products
385,allergens,"cocoa and cocoa preparations, coffee and tea",milk and products thereof,dark chocolates
386,biological,"meat, egg and dairy products",escherichia coli,cheese
387,biological,seafood,listeria monocytogenes,salmon
388,fraud,"meat, egg and dairy products",inspection issues,beef products
389,allergens,other food product / mixed,eggs and products thereof,chicken based products
390,allergens,"meat, egg and dairy products",milk and products thereof,thermal processed pork meat
391,other hazard,"meat, egg and dairy products",processing,chicken based products
392,biological,"soups, broths, sauces and condiments",listeria monocytogenes,ice cream
393,allergens,"meat, egg and dairy products",milk and products thereof,chicken based products
394,biological,"soups, broths, sauces and condiments",listeria monocytogenes,chicken based products
395,biological,fruits and vegetables,listeria monocytogenes,ice cream
396,biological,seafood,listeria monocytogenes,ready to eat - cook meals
397,biological,"meat, egg and dairy products",listeria monocytogenes,cheese
398,other hazard,"meat, egg and dairy products",milk and products thereof,chicken based products
399,foreign bodies,"nuts, nut products and seeds",salmonella,peanuts
400,allergens,prepared dishes and snacks,listeria monocytogenes,cheese
401,biological,prepared dishes and snacks,salmonella,ice cream
402,allergens,cereals and bakery products,milk and products thereof,cookies
403,biological,"nuts, nut products and seeds",salmonella,pistachio nuts
404,biological,seafood,listeria monocytogenes,Fishes not identified
405,foreign bodies,fruits and vegetables,plastic fragment,ice cream
406,allergens,"soups, broths, sauces and condiments",salmonella,ice cream
407,foreign bodies,"meat, egg and dairy products",plastic fragment,ground beef
408,biological,prepared dishes and snacks,listeria monocytogenes,potato chips
409,fraud,"meat, egg and dairy products",listeria monocytogenes,thermal processed pork meat
410,biological,cereals and bakery products,salmonella,ice cream
411,fraud,prepared dishes and snacks,eggs and products thereof,sandwiches
412,allergens,confectionery,cereals containing gluten and products thereof,corn
413,foreign bodies,prepared dishes and snacks,plastic fragment,ready to eat - cook meals
414,allergens,fruits and vegetables,listeria monocytogenes,ready to eat - cook meals
415,allergens,alcoholic beverages,salmonella,cider
416,other hazard,"meat, egg and dairy products",listeria monocytogenes,turkey and turkey preparations
417,foreign bodies,cereals and bakery products,milk and products thereof,bread
418,allergens,"nuts, nut products and seeds",peanuts and products thereof,peanuts
419,foreign bodies,"cocoa and cocoa preparations, coffee and tea",milk and products thereof,chocolate bars
420,food additives and flavourings,ices and desserts,milk and products thereof,jellies
421,allergens,"soups, broths, sauces and condiments",milk and products thereof,soup
422,allergens,"soups, broths, sauces and condiments",milk and products thereof,cookies
423,biological,"meat, egg and dairy products",listeria monocytogenes,cheese
424,allergens,fruits and vegetables,milk and products thereof,cakes
425,allergens,cereals and bakery products,milk and products thereof,ice cream
426,allergens,"cocoa and cocoa preparations, coffee and tea",eggs and products thereof,chocolate bars
427,biological,fruits and vegetables,listeria monocytogenes,ice cream
428,biological,"meat, egg and dairy products",escherichia coli,ground beef
429,allergens,cereals and bakery products,milk and products thereof,cakes
430,biological,fruits and vegetables,listeria monocytogenes,ice cream
431,organoleptic aspects,"soups, broths, sauces and condiments",milk and products thereof,soup
432,foreign bodies,"meat, egg and dairy products",plastic fragment,chicken based products
433,fraud,"meat, egg and dairy products",milk and products thereof,ready to eat - cook meals
434,allergens,cereals and bakery products,milk and products thereof,cookies
435,foreign bodies,"cocoa and cocoa preparations, coffee and tea",metal fragment,chocolate bars
436,allergens,"cocoa and cocoa preparations, coffee and tea",milk and products thereof,dark chocolates
437,biological,ices and desserts,listeria monocytogenes,ice cream
438,biological,fruits and vegetables,moulds,ice cream
439,fraud,seafood,milk and products thereof,salmon
440,foreign bodies,"meat, egg and dairy products",plastic fragment,chicken based products
441,allergens,cereals and bakery products,milk and products thereof,ice cream
442,allergens,"dietetic foods, food supplements, fortified foods",almond,cakes
443,foreign bodies,"meat, egg and dairy products",plastic fragment,ground beef
444,biological,cereals and bakery products,escherichia coli,flour
445,allergens,cereals and bakery products,milk and products thereof,ready to eat - cook meals
446,biological,cereals and bakery products,escherichia coli,flour
447,allergens,cereals and bakery products,listeria monocytogenes,cakes
448,biological,fruits and vegetables,listeria monocytogenes,ice cream
449,biological,"meat, egg and dairy products",escherichia coli,ground beef
450,allergens,"meat, egg and dairy products",soybeans and products thereof,sausage
451,allergens,"meat, egg and dairy products",milk and products thereof,chicken based products
452,allergens,seafood,milk and products thereof,Fishes not identified
453,allergens,seafood,milk and products thereof,Fishes not identified
454,allergens,"cocoa and cocoa preparations, coffee and tea",milk and products thereof,cookies
455,biological,"meat, egg and dairy products",listeria monocytogenes,ham
456,allergens,"dietetic foods, food supplements, fortified foods",milk and products thereof,peanuts
457,allergens,cereals and bakery products,milk and products thereof,cakes
458,other hazard,"meat, egg and dairy products",salmonella,chicken based products
